,Height
0,495463
1,593356
2,593349
3,531172
4,595471
5,530251
6,524705
7,539934
8,475245
9,475246
10,475247
11,475248
12,475249
13,475250
14,475257
15,475259
16,475260
17,475261
18,475268
19,475269
20,475270
21,475271
22,475272
23,475276
24,475277
25,475282
26,475285
27,475289
28,475291
29,475293
30,475296
31,475297
32,475299
33,475304
34,475305
35,475306
36,475307
37,475308
38,475311
39,475314
40,475315
41,475432
42,485241
43,485612
44,485704
45,486441
46,486923
47,486947
48,487268
49,487360
50,487636
51,488810
52,489454
53,489775
54,490833
55,492306
56,492466
57,492581
58,493870
59,494145
60,494583
61,494812
62,494881
63,495341
64,495822
65,496304
66,498628
67,499143
68,499719
69,500103
70,500151
71,501642
72,501714
73,501715
74,501738
75,501763
76,519144
77,519175
78,519206
79,519237
80,519268
81,519299
82,519330
83,519392
84,519423
85,519516
86,519547
87,519609
88,519640
89,519671
90,519702
91,519733
92,519764
93,519795
94,519826
95,519888
96,519919
97,519950
98,519981
99,520012
100,520074
101,520136
102,520167
103,520198
104,520229
105,520260
106,520291
107,520322
108,520384
109,520415
110,520446
111,520477
112,520508
113,520570
114,520601
115,520632
116,520694
117,520725
118,520756
119,520787
120,520818
121,520880
122,520911
123,520942
124,520973
125,521004
126,521035
127,521066
128,521097
129,521128
130,521159
131,521221
132,521283
133,521314
134,521345
135,521376
136,521407
137,521438
138,521469
139,521500
140,521593
141,521624
142,521655
143,521686
144,521748
145,521779
146,521810
147,521841
148,521872
149,520043
150,500968
151,494742
152,495228
153,495996
154,505821
155,494649
156,525625
157,525682
158,525698
159,512452
160,495483
161,495967
162,506845
163,573235
164,494756
165,496089
166,524698
167,524705
168,530251
169,595471
